STAT,STAT,bottom 10%,bottom 25%,bottom 33%,50/50,top 34%,top 25%,top 10%
wits,academics,2,2,3,3,4,4,6
wits,animal_ken,2,2,2,3,3,4,4
wits,athletics,2,2,2,3,4,5,5
wits,awareness,2,3,3,4,4,5,5
wits,brawl,2,2,2,3,4,5,6
wits,craft,2,2,2,2,3,3,4
wits,driving,2,2,2,3,4,4,5
wits,etiquette,2,2,2,3,3,4,5
wits,finance,2,2,2,3,4,4,5
wits,firearms,4,4,4,5,6,6,7
wits,insight,3,4,4,5,6,6,7
wits,intimidation,2,2,2,3,4,4,6
wits,investigation,3,4,5,5,6,6,7
wits,larceny,2,2,2,3,3,3,4
wits,leadership,2,3,3,4,4,5,6
wits,medicine,2,2,2,3,3,4,4
wits,melee,2,2,2,3,3,4,5
wits,occult,2,3,3,4,4,4,5
wits,performance,2,2,3,3,4,4,5
wits,persuasion,3,3,4,5,5,6,7
wits,politics,2,2,3,3,4,4,5
wits,science,2,3,3,3,4,5,6
wits,stealth,2,2,3,3,4,4,5
wits,streetwise,2,2,3,3,4,5,6
wits,subterfuge,2,3,3,4,4,5,6
wits,survival,2,2,2,3,3,4,5
wits,technology,2,2,3,3,4,4,6
generated on,Sat Sep 26 13:53:54 CEST 2026
